Server;Sets ;Games ;Points ;Description
Roger Federer  ;0?1;4?4;0?15;"1st serve wide, fault (long). 2nd serve down the T; backhand return inside-out (shallow); forehand down the middle; backhand down the middle; forehand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out; forehand down the middle; forehand crosscourt; backhand slice down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt, winner. (20-shot rally)"
Roger Federer  ;0?1;4?4;0?30;"1st serve wide, fault (net). 2nd serve down the T; forehand return down the middle (deep); forehand inside-out; forehand down the middle; forehand down the middle; backhand inside-out; forehand inside-in; backhand crosscourt; forehand crosscourt (net), unforced error. (8-shot rally)"
Roger Federer  ;0?1;4?4;0?40;"1st serve down the T; backhand return down the middle (shallow); forehand approach shot crosscourt, winner."
Roger Federer  ;0?1;4?4;15?40;"1st serve down the T; forehand return down the middle (very deep); forehand crosscourt; forehand inside-out; forehand crosscourt; backhand down the line; backhand slice crosscourt; forehand crosscourt; backhand down the middle; backhand slice inside-out; forehand inside-in; backhand crosscourt; forehand down the line; forehand down the line; forehand chip/slice down the middle; forehand inside-out, winner. (16-shot rally)"
;;;;
Rafael Nadal  ;1?0;5?4;0?0;"1st serve down the T; backhand return inside-out (shallow); backhand slice down the line; forehand approach shot inside-out; forehand down the line; forehand volley (stop volley) crosscourt, winner. (6-shot rally)"
Rafael Nadal  ;1?0;5?4;0?15;"1st serve to body; forehand return inside-out, forced error."
Rafael Nadal  ;1?0;5?4;15?15;"1st serve to body; forehand return down the line (shallow); forehand approach shot down the line, winner."
Rafael Nadal  ;1?0;5?4;30?15;"1st serve wide; backhand return down the line (very deep); backhand down the middle; forehand approach shot crosscourt; backhand crosscourt; forehand volley crosscourt; backhand, forced error. (6-shot rally)"
Rafael Nadal  ;1?0;5?4;30?30;"1st serve down the T, fault (long). 2nd serve to body; forehand return down the middle (deep); forehand crosscourt; forehand approach shot inside-in; backhand slice crosscourt, winner. (5-shot rally)"
Rafael Nadal  ;1?0;5?4;40?30;"1st serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice crosscourt; forehand down the line, forced error. (8-shot rally)"
Rafael Nadal  ;1?0;5?4;40?40;"1st serve down the T, fault (wide). 2nd serve down the T; backhand return down the middle (very deep); forehand down the middle; forehand inside-out; forehand crosscourt; backhand down the middle; forehand drop shot inside-out (wide), unforced error. (6-shot rally)"
Rafael Nadal  ;1?0;5?4;40?AD;"1st serve to body; forehand return down the middle (very deep); forehand inside-out; forehand approach shot crosscourt; backhand down the line; backhand volley crosscourt; forehand down the middle; forehand at baseline down the middle; forehand crosscourt; backhand slice crosscourt, forced error. (9-shot rally)"
Rafael Nadal  ;1?0;5?4;40?40;"1st serve to body, fault (net). 2nd serve to body; forehand return crosscourt (long), unforced error."
Rafael Nadal  ;1?0;5?4;AD?40;"1st serve down the T, fault (net). 2nd serve to body; forehand return inside-out (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the line (net), unforced error. (5-shot rally)"
;;;;
Roger Federer  ;0?2;0?0;0?0;"1st serve wide, fault (wide). 2nd serve wide; backhand return crosscourt (shallow); forehand down the line, winner."
Roger Federer  ;0?2;0?0;15?0;"1st serve down the T; backhand return down the middle (deep); forehand approach shot crosscourt; backhand lob crosscourt; smash crosscourt; backhand slice down the middle; forehand approach shot inside-out; forehand down the line, forced error. (7-shot rally)"
Roger Federer  ;0?2;0?0;30?0;"1st serve wide; backhand return crosscourt (deep); forehand approach shot down the line; forehand crosscourt; backhand volley down the line, winner. (5-shot rally)"
Roger Federer  ;0?2;0?0;40?0;"1st serve wide, fault (net). 2nd serve to body; backhand return inside-out (wide), unforced error."
;;;;
Rafael Nadal  ;2?0;0?1;0?0;"1st serve down the T; backhand return inside-out (very deep); forehand down the middle, forced error."
Rafael Nadal  ;2?0;0?1;0?15;1st serve wide, service winner.
Rafael Nadal  ;2?0;0?1;15?15;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand down the middle (long), unforced error."
Rafael Nadal  ;2?0;0?1;30?15;"1st serve wide; backhand return crosscourt (shallow); forehand approach shot crosscourt; backhand down the line, forced error."
Rafael Nadal  ;2?0;0?1;40?15;"1st serve down the T, fault (long). 2nd serve down the T; backhand return approach shot inside-out (very deep); backhand down the line; backhand volley (stop volley) crosscourt; forehand crosscourt, forced error. (4-shot rally)"
Rafael Nadal  ;2?0;0?1;40?30;"1st serve wide, fault (long). 2nd serve wide; forehand return inside-in (wide), unforced error."
;;;;
Roger Federer  ;0?2;1?1;0?0;"1st serve wide, fault (net). 2nd serve to body; backhand return crosscourt (net), unforced error."
Roger Federer  ;0?2;1?1;15?0;"1st serve wide; forehand return down the middle (very deep); forehand crosscourt; forehand inside-in; backhand down the line; backhand crosscourt; forehand down the line; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand down the line; backhand down the middle; forehand approach shot crosscourt, winner. (13-shot rally)"
Roger Federer  ;0?2;1?1;30?0;"1st serve wide; backhand slice return down the middle (very deep); forehand crosscourt; backhand crosscourt, winner. (4-shot rally)"
Roger Federer  ;0?2;1?1;30?15;1st serve wide, ace.
Roger Federer  ;0?2;1?1;40?15;1st serve wide, service winner.
;;;;
Rafael Nadal  ;2?0;1?2;0?0;"1st serve wide; forehand return crosscourt (deep); backhand down the line; backhand crosscourt; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice crosscourt; forehand down the line; forehand down the middle; forehand crosscourt; backhand slice down the line; forehand inside-in; backhand crosscourt (long), unforced error. (15-shot rally)"
Rafael Nadal  ;2?0;1?2;15?0;"1st serve wide, fault (wide). 2nd serve wide; backhand slice return down the line (shallow) (net cord); backhand slice approach shot down the line, forced error."
Rafael Nadal  ;2?0;1?2;15?15;"1st serve down the T, fault (net). 2nd serve down the T; backhand return inside-out (very deep); backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand approach shot down the line; forehand crosscourt; backhand volley down the line, winner. (8-shot rally)"
Rafael Nadal  ;2?0;1?2;15?30;"1st serve to body, fault (long). 2nd serve wide; backhand return down the middle (deep); backhand down the middle; forehand inside-out; forehand chip/slice down the line; forehand swinging volley approach shot crosscourt, winner. (6-shot rally)"
Rafael Nadal  ;2?0;1?2;15?40;"1st serve to body; backhand return down the middle (deep); forehand crosscourt, winner."
Rafael Nadal  ;2?0;1?2;30?40;"1st serve to body, fault (long). 2nd serve wide; backhand return down the middle (deep); forehand down the middle; forehand inside-out; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt (long), unforced error. (7-shot rally)"
Rafael Nadal  ;2?0;1?2;40?40;1st serve down the T, service winner.
Rafael Nadal  ;2?0;1?2;AD?40;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the line (wide), unforced error. (5-shot rally)"
;;;;
Roger Federer  ;0?2;2?2;0?0;"1st serve down the T, fault (net). 2nd serve wide; backhand return crosscourt (very deep); forehand down the line; forehand, forced error."
Roger Federer  ;0?2;2?2;15?0;"1st serve down the T; backhand slice return down the middle, forced error."
Roger Federer  ;0?2;2?2;30?0;"1st serve down the T; forehand return inside-out, forced error."
Roger Federer  ;0?2;2?2;40?0;"1st serve wide; forehand return down the middle (deep); forehand volley crosscourt, winner."
;;;;
Rafael Nadal  ;2?0;2?3;0?0;"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; backhand slice down the line; forehand inside-out; forehand crosscourt; backhand slice down the line; forehand approach shot inside-in; backhand crosscourt, winner. (9-shot rally)"
Rafael Nadal  ;2?0;2?3;15?0;"1st serve wide; backhand slice return down the middle (deep); forehand crosscourt; backhand slice down the line; forehand inside-in; backhand approach shot crosscourt; forehand chip/slice crosscourt; backhand volley down the middle; backhand inside-out, forced error. (8-shot rally)"
Rafael Nadal  ;2?0;2?3;15?15;"1st serve to body, fault (net). 2nd serve to body; forehand return crosscourt (shallow); backhand down the middle; forehand approach shot crosscourt (net cord); backhand down the line, forced error. (4-shot rally)"
Rafael Nadal  ;2?0;2?3;15?30;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand crosscourt; forehand inside-out; forehand crosscourt; backhand slice down the line (wide), unforced error. (6-shot rally)"
